"Ongata Rongai to Karen to Embakasi then back to Karen then Ongata Rongai","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","Reg. No.","Lat ","Lon","Speed (km/h)","Altitude ","EngineState ","Direction","Direction (Angle Changes)","Time ","GPSTime","GPS Signal Strength","Speed (m/s)","Change in Speed (m/s)","Change in Direction","Change in Altitude","Change in Time (s)","Acceleration/Deceleration (m/s2)"
"1","KXX","-1.391675","36.776489","0","1711.3","0","SW","194","5/16/2018 8:25","1526444758","0.8","0","","","","",""
"2","KXX","-1.391668","36.776497","2","1717","1800","NW","299","5/16/2018 8:32","1526445128","0.8","0.56","0.56","105","5.7","370","0"
"3","KXX","-1.391628","36.776451","3","1716.8","1800","NW","348","5/16/2018 8:32","1526445137","0.8","0.83","0.27","49","-0.20000000000005","9","0.03"
"4","KXX","-1.391628","36.776451","2","1716.1","1800","SE","170","5/16/2018 8:32","1526445142","0.8","0.56","-0.27","-178","-0.70000000000005","5","-0.05"
"5","KXX","-1.391848","36.77634","6","1712.5","1800","SW","231","5/16/2018 8:32","1526445175","0.8","1.67","1.11","61","-3.5999999999999","33","0.03"
"6","KXX","-1.391772","36.776146","24","1713.2","1800","NW","299","5/16/2018 8:33","1526445180","0.8","6.67","5","68","0.70000000000005","5","1"
"7","KXX","-1.39153","36.775688","31","1714.6","1800","NW","299","5/16/2018 8:33","1526445187","0.8","8.61","1.94","0","1.3999999999999","7","0.28"
"8","KXX","-1.391285","36.775219","29","1716.4","1800","NW","298","5/16/2018 8:33","1526445194","0.9","8.06","-0.55","-1","1.8000000000002","7","-0.08"
"9","KXX","-1.39113","36.774658","7","1719.8","1800","NW","282","5/16/2018 8:33","1526445211","0.8","1.94","-6.12","-16","3.3999999999999","17","-0.36"
"10","KXX","-1.391068","36.774109","24","1717.6","1800","NW","274","5/16/2018 8:33","1526445224","0.9","6.67","4.73","-8","-2.2","13","0.36"
"11","KXX","-1.391035","36.772903","34","1717.4","1800","NW","271","5/16/2018 8:34","1526445241","0.8","9.44","2.77","-3","-0.19999999999982","17","0.16"
"12","KXX","-1.391005","36.772392","34","1721.5","1800","NW","274","5/16/2018 8:34","1526445247","0.8","9.44","0","3","4.0999999999999","6","0"
"13","KXX","-1.390958","36.771919","36","1721.5","1800","NW","275","5/16/2018 8:34","1526445252","0.8","10","0.56","1","0","5","0.11"
"14","KXX","-1.390915","36.771439","38","1720.3","1800","NW","275","5/16/2018 8:34","1526445257","0.8","10.56","0.56","0","-1.2","5","0.11"
"15","KXX","-1.390872","36.770977","37","1720.7","1800","NW","275","5/16/2018 8:34","1526445262","0.9","10.28","-0.28","0","0.40000000000009","5","-0.06"
"16","KXX","-1.390795","36.770489","21","1726.7","1800","NW","279","5/16/2018 8:34","1526445269","0.9","5.83","-4.45","4","6","7","-0.64"
"17","KXX","-1.39075","36.769936","22","1722.6","1800","NW","271","5/16/2018 8:34","1526445282","0.8","6.11","0.28","-8","-4.1000000000001","13","0.02"
"18","KXX","-1.390793","36.768677","33","1725.2","1800","SW","267","5/16/2018 8:35","1526445301","0.8","9.17","3.06","-4","2.6000000000001","19","0.16"
"19","KXX","-1.390823","36.768166","34","1721.7","1800","SW","268","5/16/2018 8:35","1526445307","0.8","9.44","0.27","1","-3.5","6","0.04"
"20","KXX","-1.390833","36.767693","31","1718.3","1800","NW","274","5/16/2018 8:35","1526445313","0.8","8.61","-0.83","6","-3.4000000000001","6","-0.14"
"21","KXX","-1.390682","36.767197","4","1724.6","1800","NW","292","5/16/2018 8:35","1526445349","0.8","1.11","-7.5","18","6.3","36","-0.21"
"22","KXX","-1.390602","36.767044","12","1718.7","1800","NW","335","5/16/2018 8:36","1526445392","0.8","3.33","2.22","43","-5.8999999999999","43","0.05"
"23","KXX","-1.390528","36.767029","14","1718.7","1800","NE","3","5/16/2018 8:36","1526445394","0.8","3.89","0.56","-332","0","2","0.28"
"24","KXX","-1.390443","36.767056","18","1718.7","1800","NE","27","5/16/2018 8:36","1526445396","0.8","5","1.11","24","0","2","0.56"
"25","KXX","-1.389988","36.767376","41","1713.9","1800","NE","38","5/16/2018 8:36","1526445403","0.8","11.39","6.39","11","-4.8","7","0.91"
"26","KXX","-1.38955","36.767754","46","1708.6","1800","NE","45","5/16/2018 8:36","1526445408","0.8","12.78","1.39","7","-5.3000000000002","5","0.28"
"27","KXX","-1.389378","36.767937","49","1707.5","1800","NE","49","5/16/2018 8:36","1526445410","0.8","13.61","0.83","4","-1.0999999999999","2","0.42"
"28","KXX","-1.388543","36.769428","44","1706","1800","NE","47","5/16/2018 8:37","1526445423","0.8","12.22","-1.39","-2","-1.5","13","-0.11"
"29","KXX","-1.388158","36.769814","44","1705.7","1800","NE","45","5/16/2018 8:37","1526445428","0.8","12.22","0","-2","-0.29999999999995","5","0"
"30","KXX","-1.387758","36.770214","44","1707.3","1800","NE","45","5/16/2018 8:37","1526445433","0.8","12.22","0","0","1.5999999999999","5","0"
"31","KXX","-1.387363","36.770592","43","1708.7","1800","NE","43","5/16/2018 8:37","1526445438","0.8","11.94","-0.28","-2","1.4000000000001","5","-0.06"
"32","KXX","-1.386985","36.770893","36","1711.9","1800","NE","35","5/16/2018 8:37","1526445443","0.8","10","-1.94","-8","3.2","5","-0.39"
"33","KXX","-1.3865","36.771076","35","1714.8","1800","NE","16","5/16/2018 8:37","1526445449","0.8","9.72","-0.28","-19","2.8999999999999","6","-0.05"
"34","KXX","-1.386233","36.771111","37","1717.9","1800","NE","4","5/16/2018 8:37","1526445452","0.8","10.28","0.56","-12","3.1000000000001","3","0.19"
"35","KXX","-1.386033","36.771107","41","1719","1800","NW","359","5/16/2018 8:37","1526445454","0.8","11.39","1.11","355","1.0999999999999","2","0.56"
